ID_author,AU_ID_scopus,full_name,affiliation
100,35578821900,Cruz-Lemus J.A.,Universidad de Castilla-La Mancha
101,57265453800,Marcelo L.A.,Universidad de Castilla-La Mancha
102,57221721604,de la Rosa F.L.,Universidad de Castilla-La Mancha
103,57263159400,Sánchez-Reolid D.,Universidad de Castilla-La Mancha
104,57216411206,Sánchez P.J.B.,Universidad de Castilla-La Mancha
105,57226548754,Urioso E.C.,Universidad de Castilla-La Mancha
106,57226545511,Peco A.M.,Universidad de Castilla-La Mancha
107,57226564671,Asensio M.T.,Universidad de Castilla-La Mancha
108,57812479500,Muñoz del Río A.,Universidad de Castilla-La Mancha
109,57301381200,Bernalte P.J.,Universidad de Castilla-La Mancha
110,57699094000,Chacon A.M.P.,Universidad de Castilla-La Mancha
111,57202087015,Kumar A.,Universidad de Castilla-La Mancha
112,55424779500,Dubey A.K.,Universidad de Castilla-La Mancha
113,57346043800,del Rio A.M.,Universidad de Castilla-La Mancha
114,57222105442,López de la Rosa F.,Universidad de Castilla-La Mancha
115,57523526600,Gómez-Sirvent J.L.,Universidad de Castilla-La Mancha
116,57188750814,Ramírez F.J.,Universidad de Castilla-La Mancha
117,57002844800,Bustamante A.,Universidad de Castilla-La Mancha
118,57742789900,González P.,Universidad de Castilla-La Mancha
119,58035604500,Escobar Blázquez D.,Universidad de Castilla-La Mancha
120,58035391200,García Jiménez A.S.,Universidad de Castilla-La Mancha
121,57211440641,Molina Massó J.P.,Universidad de Castilla-La Mancha
122,23010633700,Trapero J.R.,Universidad de Castilla-La Mancha
123,56039186100,Lorente J.,Universidad de Castilla-La Mancha
124,56596841400,Lavirgen J.L.,Universidad de Castilla-La Mancha
125,16229823700,Gascuena J.M.,Universidad de Castilla-La Mancha
126,56497135400,Lozano-Monasor E.,Universidad de Castilla-La Mancha
127,56497189100,Vigo-Bustos F.,Universidad de Castilla-La Mancha
128,55479941600,Fuentes J.A.,Universidad de Castilla-La Mancha
129,57189902279,Fernandez M.A.,Universidad de Castilla-La Mancha
130,55887950700,Tribaldos P.,Universidad de Castilla-La Mancha
131,57199669355,Munoz M.A.,Universidad de Castilla-La Mancha
132,54683892800,Fernandez-Ropero M.,Universidad de Castilla-La Mancha
133,36163107700,Monasor M.J.,Universidad de Castilla-La Mancha
134,7003393897,Vizcaino A.,Universidad de Castilla-La Mancha
135,36477641700,Ruiz F.,Universidad de Castilla-La Mancha
136,56618524200,Sanchez-Gonzalez L.,Universidad de Castilla-La Mancha
137,25929349500,Martinez-Ruiz T.,Universidad de Castilla-La Mancha
138,55420260400,De La Hermosa Gonzalez-Carrato R.R.,Universidad de Castilla-La Mancha
139,57196585732,Nieto M.R.M.,Universidad de Castilla-La Mancha
140,37073083100,Martinez-Gil A.M.,Universidad de Castilla-La Mancha
141,57191243017,Garde-Cerdan T.,Universidad de Castilla-La Mancha
142,55767277500,Carlos Castillo J.,Universidad de Castilla-La Mancha
143,56817935700,Gomez F.J.,Universidad de Castilla-La Mancha
144,57224970103,Pardo C.,Universidad de Castilla-La Mancha
145,57195195220,Pino F.J.,Universidad de Castilla-La Mancha
146,7006753985,Baldassarre M.T.,Universidad de Castilla-La Mancha
147,7005519744,Usaola M.P.,Universidad de Castilla-La Mancha
148,35787858200,Guerra-Garcia C.,Universidad de Castilla-La Mancha
149,35237764800,Maggi L.,Universidad de Castilla-La Mancha
150,55860800428,Carmona M.,Universidad de Castilla-La Mancha
151,7101944856,Romero F.R.,Universidad de Castilla-La Mancha
152,36550286600,Lemus S.,Universidad de Castilla-La Mancha
153,38061140000,Cano F.A.,Universidad de Castilla-La Mancha
154,57189926411,Ortiz A.M.,Universidad de Castilla-La Mancha
155,23061784900,Royo F.,Universidad de Castilla-La Mancha
156,7006046164,Orozco-Barbosa L.,Universidad de Castilla-La Mancha
157,6602350774,Insausti A.,Universidad de Castilla-La Mancha
158,7003588847,Insausti R.,Universidad de Castilla-La Mancha
159,8907776100,Aranda G.N.,Universidad de Castilla-La Mancha
160,8907775900,Cechich A.,Universidad de Castilla-La Mancha
161,36938595700,Rojas-Albarracin G.,Universidad de Castilla-La Mancha
162,57041824700,Carbajal C.A.,Universidad de Castilla-La Mancha
163,36609220500,Santos-Olmo A.,Universidad de Castilla-La Mancha
164,6508031693,Fernandez-Medina E.,Universidad de Castilla-La Mancha
165,36244266500,Rodriguez-Sanchez J.M.,Universidad de Castilla-La Mancha
166,7201755137,Pardo J.E.,Universidad de Castilla-La Mancha
167,56127325700,Zalacain A.,Universidad de Castilla-La Mancha
168,7201507433,Soto J.P.,Universidad de Castilla-La Mancha
169,23398116200,Portillo-Rodriguez J.,Universidad de Castilla-La Mancha
170,8097227500,Cebada-Sanchez S.,Universidad de Castilla-La Mancha
171,7004666246,Marcos P.,Universidad de Castilla-La Mancha
172,24470175800,Rolon E.,Universidad de Castilla-La Mancha
173,14037741600,Mellado D.,Universidad de Castilla-La Mancha
174,25929389600,Leon-Pavon E.,Universidad de Castilla-La Mancha
175,8873523600,Lopez-Valles J.M.,Universidad de Castilla-La Mancha
176,7003476885,Artacho-Perula E.,Universidad de Castilla-La Mancha
