ID_author_1,ID_author_2,scopus_id_collaborations
5,250,"84929497699,84928748351,84933182580,84929134613,84906788151,84904559502,84979790846,84955615114,84992111172,84983494470,84982146205,84978152271,84961958130,84954271498,85033592453,85026745359,85020852346,84986224249,84995487942,85018379106,85018744565,85049031887,85049301360,85047496072,85043391389,85042293053,85044354576,85034442551,85069643799,85071519876,85068505384,85059144277,85059331386,85046849777,85045464594,85052387585,85084811418,85082739449,85082851130,85077325150,85076570603,85077302620,85070340988,85070490755,85111345004,85110294918,85115794347,84906949195,84903202441,84893929030,84908616987,84908615655,84890402605,84883611815,84874541819,84873523077,84872414874,84858339091,84857032567,80053111924,79961029341,77955309788,72049109412,77953027254,67650245045,67349199646,48149104378,38549172924,33846701345,33846659382,33746810990,85044372587"
4,250,"84929497699,84928748351,84933182580,84906788151,84904559502,84979790846,84955615114,84992111172,84983494470,84982146205,84978152271,84961958130,84954271498,85033592453,85026413536,85026745359,85020852346,84986224249,84995487942,85018379106,85018744565,85049031887,85049301360,85047496072,85045584303,85043391389,85042293053,85044354576,85034442551,85069643799,85071519876,85068505384,85059144277,85059331386,85046849777,85045464594,85052387585,85084811418,85082739449,85082851130,85077325150,85076570603,85077302620,85070340988,85070490755,85072280609,85111345004,85115628861,85110294918,85103701390,85101618810,85100388114,85102070608,85120772272,85115794347,84906949195,84903202441,84893929030,84908616987,84908615655,84908612154,84890402605,84883611815,84874541819,84873523077,84872414874,84858339091,84857032567,80053111924,79961029341,67349199646,85044372587"
251,252,"84946129562,84934953186,84934276767,84930658131,84921367885,84986208187,84978245769,84957990603,84991593742,85024876720,85024133200,85040798372,85087008421,85144068822,85127178802"
225,251,"84946129562,84934953186,84934276767,84930658131,84921367885,84986208187,84978245769,84957990603,84991593742,85024876720,85024133200,85046756535,85040798372,85049499008,85044111692,85095971637,85087008421,85111076815,85144168266,85144068822,85138054363,85138051636,85127178802,85144638911,85121722500,85128272332"
225,252,"84946129562,84934953186,84934276767,84930658131,84921367885,84986208187,84978245769,84953776502,84957990603,84991593742,85013128257,85024876720,85024133200,85017436666,85040798372,85055627760,85068536908,85087008421,85144068822,85127178802,84898941560,77951055301,77951032254,70449589244,0040092238,0000447011"
253,254,"84952046068,84900396328,85106250493,84877628465"
253,255,"84952046068,84919838753,84900396328,84930661278,85024478475,85018263071,85042942351,85041668692,85076685741,85116534004,85106250493,85098703938,85117155877,84877628465"
170,253,"84952046068,84919838753,84900396328,85106250493"
158,253,"84952046068,84919838753,84900396328"
171,253,"84952046068,84919838753,84900396328,84930661278,85024478475,85018263071,85042942351,85041668692,85076685741,85116534004,85106250493,85098703938,84877628465"
254,255,"84952046068,84900396328,85106250493,84877628465"
170,254,"84952046068,84900396328,85106250493"
158,254,"84952046068,84900396328"
171,254,"84952046068,84900396328,85106250493,84877628465"
170,255,"84952046068,84919838753,84900396328,85106250493"
158,255,"84952046068,84919838753,84900396328,38049085453,34548728747,28744434753,21344453755,15344349994,1842664456,1342288554,0037012242,85032914413"
171,255,"84952046068,84919838753,84900396328,38049085453,34548728747,28744434753,21344453755,15344349994,1842664456,1342288554,0037012242,84930661278,85024478475,85018263071,85042942351,85041668692,85076685741,85116534004,85106250493,85098703938,84877628465,79551565583"
256,257,"84947967810,84919961695"
54,256,"84947967810,85056522249,85039768667,85077847784,85102842145,85102822455,84919961695"
150,256,"84947967810,84919961695"
54,257,"84947967810,84994515519,85040916226,84896533300,84906241035,84889666273,84898003008,84919961695,84885507317,84885039222,84878422941,84869888459,80052282188"
150,257,"84947967810,85040916226,84906241035,84889666273,84919961695,84885507317,80052282188,84891402159"
226,258,"84941875655,84971671938,84957433613,84946230782,85006021646,85044153202,85029411786,85048345909,85085196992,85087944359,85102017327,85124318781,85117751667,85074372199,84893474674,84906510011,84876134043,77954790416,49049108306,33845461825,33747111288,26944496135,3042850166,0344585011,85072485873,0034990739,85072475680,0034061625,85072439573,0000626602,0033664863"
258,259,"84941875655,84946230782,85044153202,85085196992,85102017327,84876134043,84930613844,85067783078,85066744516,85126674392,84857980196,84862988875,85128039135"
226,259,"84941875655,84946230782,85021444004,85018488048,85051201685,84979666709,85044153202,85043449888,85063333194,85085196992,85102017327,84876134043"
260,261,84937815843
260,262,84937815843
3,260,84937815843
5,260,84937815843
4,260,84937815843
261,262,"84937815843,84907651866,84892779486,84908641335"
3,261,"84937815843,84907651866,84892779486,84908641335"
5,261,"84937815843,84907651866,84892779486,84908641335"
4,261,"84937815843,84907651866,84892779486,84908641335"
3,262,"84937815843,84907651866,84954227027,84894085691,84892779486,84908641335,84856443636,84856141936,84855182668"
5,262,"84937815843,84907651866,84954227027,85028946951,84894085691,84892779486,84908641335,84856443636,84856141936,84855182668,77955295529,79960929608"
4,262,"84937815843,84907651866,84954227027,85026751235,85028946951,84894085691,84892779486,84908641335,84908612154,84856443636,84856141936,84855182668,77955295529,79960929608"
226,263,"84939857185,85117751667"
226,264,"84939857185,85029411786,85072542929,85117751667,49049108306"
263,264,"84939857185,85117751667,85111828504"
2,265,"84928403518,84928352468,84974834759,84963894124,84961285652,85038020078,85013379995,85013005046,84908651399,85016942706,84926328209"
2,266,"84928403518,84974834759,84963894124,84961285652,85038020078,85013005046,85016942706"
5,265,"84928403518,84928352468,84974834759,84963894124,85038020078,85013005046,84908651399,85016942706,84926328209"
265,266,"84928403518,84974834759,84963894124,84961285652,85038020078,85013005046,85016942706"
4,265,"84928403518,84928352468,84974834759,84963894124,84961285652,85038020078,85013379995,85013005046,84908651399,85016942706,84926328209"
5,266,"84928403518,84974834759,84963894124,85038020078,85013005046,85016942706"
4,266,"84928403518,84974834759,84963894124,84961285652,85038020078,85013005046,85016942706"
267,268,"84938853698,84923013818,84964417437,85009818546"
38,267,"84938853698,84923013818,84959358663,84949978450,84964417437,84991340870,85009818546,84902318249,84906101154,84902551080,84886017125,84876995298,84880270697,84872230758,84857445272,84911465402"
39,267,"84938853698,84923013818,84959358663,84949978450,84964417437,84991340870,85009818546,84902318249,84906101154,84902551080,84886017125,84876995298,84880270697,84872230758,84857445272,84911465402"
38,268,"84938853698,84923013818,84964417437,85027453939,85009818546,85049435144,85054180023,85041865449,85041072065,85072568187,85060500796"
39,268,"84938853698,84923013818,84964417437,85027453939,85009818546,85049435144,85054180023,85041865449,85041072065,85072568187,85060500796,85086931735,85085970337,85087692774,85103565071,85102876600,85100876757,85106507796,85102886262"
269,270,"84927144703,85115606532,84906832941"
2,269,"84927144703,85095441075,85115606532"
5,269,"84927144703,85018379106,85018744565,85043391389,85069643799,85077325150,85076570603,85077302620,85070490755,84906832941"
4,269,"84927144703,85018379106,85018744565,85043391389,85069643799,85095441075,85077325150,85076570603,85077302620,85070490755,85115606532,84906832941"
2,270,"84927144703,84964284829,85021082457,85008656587,85049783762,85051118356,85043989464,85042728544,85027166038,85021449853,85065438592,85084070301,85087971095,85113155682,85115606532,85103657459,85100676551,85101397734,85096366925,85090732114,85131072540,85114187854,84908651399,85076507035"
5,270,"84927144703,84969836689,84964284829,84940056560,84960841524,85021082457,85008656587,85049783762,85051118356,85043989464,85042728544,85027166038,85021449853,85065438592,85103657459,85101397734,85139052090,84906832941,84908651399"
4,270,"84927144703,84969836689,84964284829,84940056560,84960841524,85021760353,85021082457,84987620691,85008656587,85006356777,85049783762,85051118356,85043989464,85042728544,85046089009,85027166038,85021449853,85065438592,85084070301,85087971095,85113155682,85115606532,85103657459,85100676551,85101397734,85096366925,85090732114,85139052090,85131072540,85114187854,84964793226,84906832941,84908651399"
231,271,"84933182580,84983174945,84955615114,84978152271,84963646125,85006833184,85047241462,84908616987,84908615655,84886400168,84866743518,84866412784"
271,272,"84933182580,84983174945,84978152271,84908616987"
237,271,"84933182580,84955615114,84978152271,84908616987,84908615655"
250,271,"84933182580,84955615114,84978152271,84908616987,84908615655"
5,271,"84933182580,84983174945,84955615114,84978152271,84963646125,85006833184,85047241462,84908616987,84908615655,84886400168,84866743518,84866412784"
4,271,"84933182580,84983174945,84955615114,84978152271,84963646125,85006833184,85047241462,84908616987,84908615655,84886400168,84866743518,84866412784"
231,272,"84933182580,84983174945,84982146205,84978152271,85033592453,85026413536,85026745359,85020852346,84995487942,85049031887,85049900473,85045584303,85042293053,85059331386,85045464594,85070883831,84908616987,85044372587"
237,272,"84933182580,84978152271,84908616987"
250,272,"84933182580,84982146205,84978152271,85033592453,85026413536,85026745359,85020852346,84995487942,85049031887,85045584303,85042293053,85059331386,85045464594,84908616987,85044372587"
5,272,"84933182580,84908032310,84983174945,84982146205,84978152271,85033592453,85026745359,85020852346,84995487942,85049031887,85049900473,85042293053,85059331386,85045464594,85070883831,84905328115,84908616987,84926315967,85044372587"
4,272,"84933182580,84908032310,84983174945,84982146205,84978152271,85033592453,85026413536,85026745359,85020852346,84995487942,85049031887,85049900473,85045584303,85042293053,85059331386,85045464594,85070883831,84905328115,84908616987,84926315967,85044372587"
237,250,"84933182580,84906788151,84904559502,84979790846,84955615114,84983494470,84978152271,84986224249,85044354576,85071519876,85070340988,84906949195,84903202441,84893929030,84908616987,84908615655,84873523077"
38,273,"84930925125,84907976824,85016017139,85070671248,84889609433,84906859341,84875372879,84861905950,79951801112,68349150935"
273,274,"84930925125,84907976824,84889609433"
209,273,"84930925125,84907976824,84889609433,84906859341,84875372879,84861905950,79951801112,68349150935,85085639972"
208,273,"84930925125,84907976824,84889609433,84906859341,84875372879,84861905950,85085639972"
38,274,"84930925125,84907976824,84963548970,85018508875,85084355600,84889609433"
209,274,"84930925125,84907976824,84963548970,84889609433,85029769239,85044381762"
208,274,"84930925125,84907976824,84963548970,85018508875,84889609433,85029769239,85044381762"
251,275,"84934953186,84934276767,84930658131,84921367885"
252,275,"84934953186,84934276767,84930658131,84921367885,84953776502,85013128257,85017436666,85055627760,84898941560"
225,275,"84934953186,84934276767,84930658131,84921367885,84953776502,84955480190,85035010803,85013128257,85017436666,85055627760,84906537305,84898941560"
4,276,"84938960466,84987846873,85029533751,85027723196,85011320947,85016569895,85057757630,85054102907,85056155940,85048788798,85047253472,85045562040,85036528419,85059305305,85057742920,84899649403,84873523077"
5,276,"84938960466,84987846873,85029533751,85027723196,85011320947,85016569895,85057757630,85054102907,85056155940,85048788798,85047253472,85045562040,85036528419,85057742920,84899649403,84873523077"
1,276,"84938960466,84987846873,85029533751,85027723196,85011320947,85016569895,85057757630,85054102907,85056155940,85048788798,85047253472,85045562040,85036528419,85059305305,85057742920,84899649403,85092317575"
157,277,84939124467
277,278,84939124467
158,277,"84939124467,85083729430,85096993986"
176,277,"84939124467,85083729430,85096993986"
157,278,"84939124467,77955989051"
157,176,"84939124467,85032926086,84889680737"
158,278,"84939124467,84928659646,79954565385,77955989051,59949091760,40249083405,38049085453,38649140702,34548728747,34147201727,28744434753,85032914413"
176,278,"84939124467,38049085453,34548728747,28744434753,85032914413"
226,279,"84923775816,84928143124,85012898627,85048048148,85035118877,85053220436,85074814611,85087386078,85062949533,85104026730,85107004800,85088532570,85099979887,85125640805,85129581471,84888388348,84866441183,84866624960,84870831687,79959997876,69449105959,64249093332,56749144145,85085033420,85085021390,84874899464,85032359282"
275,280,"84930658131,85055627760"
251,280,"84930658131,85044111692"
252,280,"84930658131,85055627760,85068536908"
225,280,"84930658131,85055627760,85044111692,85068536908,85082738007,85106893628,80051743237,8444250284,0035797764,0035912423,0010647411,0034274045,0002359334,0001844766,0000742858,0001511820,33748391268,0030570284"
223,281,"84930629960,84949117430"
224,281,"84930629960,85027493718,85087965182,85144068822,84949117430,84908013153,84901771500,84893145454,79959351831"
225,281,"84930629960,85047632640,85027493718,85062985793,85087965182,85082738007,85105694547,85144068822,85124141605,85121722500,84949117430,84908013153,84901771500,84893145454,84879467701,84864034791,84862985348,79959351831,85128272332"
223,282,"84931282101,84949117430"
224,282,"84931282101,84954185658,85027493718,84949117430,84908013153,84901660307,84860458329,84856163105,82155179275,55949132829,52649142687,85083078955"
282,283,"84931282101,84860458329,79961037327,79952584406,77951071560"
225,282,"84931282101,84982706118,84954185658,85040798372,85027493718,84949117430,84908013153,84901660307,84906229449,84871606047,84860458329,84856163105,82155179275,81755166551,79961037327,79955564659,79952584406,77951071560,55949132829,52649142687"
223,283,84931282101
224,283,"84931282101,84860458329"
225,283,"84931282101,84864264965,84860458329,84862830802,80051743237,79961037327,79952584406,77952986477,77951071560,77149138794,70449589244,67650787028,65749097282,52349093030,44749086571,34250840086,34249775227,33750964696,33747801698,33646470756"
38,284,"84930633848,85016143466,84958213481,84971619842,85031824191,85037157748,85021821528,85031894403,85072018495,85059665030,85055997731,85076676368,85074047817,85077524326,84907664580,84892764060,85079914779,85139296637"
284,285,84930633848
39,284,"84930633848,85016143466,84958213481,84971619842,85031824191,85037157748,85021821528,85031894403,85076676368,84907664580,84892764060,85079914779,85139296637"
210,284,"84930633848,85016143466,84958213481,84971619842,85031824191,85037157748,85021821528,85031894403,85072018495,85059665030,85055997731,85076676368,85074047817,85077524326,84907664580,84892764060,85079914779,85139296637"
38,285,84930633848
39,285,84930633848
210,285,84930633848
39,210,"84930633848,84949157229,85016143466,84976351256,84958213481,84971619842,85031824191,85037157748,85021821528,85046399524,85031894403,85030833936,85068269383,85065846877,85074860540,85067138222,85056616775,85076676368,85077317197,84949116808,84907664580,84903647608,84894551202,84891600551,84892764060,84888412701,84872322631,84862903280,84856347271,84858441574,82755186454,79961013523,30144434422,85079914779,85139296637,85087907278,85117564045,85120441710,84858283195,78650886165,75149114556,72149093240"
54,286,"84929191430,84988407762,84901298971,84888084263,84878957085,84873743787"
59,286,"84929191430,84988407762,84901298971,84888084263,84878957085,84873743787,84875484496,84857049072"
233,279,"84928143124,85048048148,85035118877,85053220436,85104026730,64249093332,85085033420,85085021390"
28,287,"84918809573,77949656708,58149526740,34547293625,33750116424,0242522995,84906997341,79961149726,84957378430,84884076153"
28,288,"84928563957,84883873720,84859331639,72449122415,79960922798,62749092060"
19,50,"84928016738,84965107403,51549094637,34047234602"
19,49,84928016738
37,268,"84923013818,84964417437,85027453939,85009818546"
37,267,"84923013818,84959358663,84949978450,84964417437,84991340870,85009818546,84902318249,84906101154,84902551080,84886017125,84880270697"
210,289,"84952869675,84893543234,84907314713,84888286516,84879048958,84862903280,73149084893,71649099254,70349337264,84863535643"
289,290,"84952869675,84893543234,84907314713"
38,289,"84952869675,84893543234,84907314713,84888286516,84879048958,84862903280,73149084893,71649099254,70349337264"
210,290,"84952869675,84893543234,84907314713"
38,290,"84952869675,84893543234,84907314713,84872230758"
291,292,84949157229
210,291,"84949157229,84894551202"
291,293,"84949157229,84894551202"
38,291,"84949157229,84894551202"
39,291,"84949157229,84894551202"
210,292,"84949157229,84976351256,85046399524,85030833936,85068269383,85065846877,85067138222,85056616775,85087907278"
292,293,"84949157229,85056616775"
38,292,"84949157229,84976351256,85046399524,85030833936,85068269383,85065846877,85067138222,85056616775"
39,292,"84949157229,84976351256,85046399524,85030833936,85068269383,85065846877,85067138222,85056616775,85087907278"
210,293,"84949157229,85056616775,84894551202"
38,293,"84949157229,85056616775,84894551202"
39,293,"84949157229,85056616775,84894551202"
226,294,"84911937362,85013103844,84874327713"
5,295,"84908377129,84955401097,84897973930,84908651399,84867103449,84863622859,84859147195,80054730060,79961027208,79959810599,79951857697,79951850591,79251637743,77955295529,77950614080,74849113523,79251632960,84926328209,84923596890,79960929608"
4,295,"84908377129,84955401097,84897973930,84908651399,84867103449,84863622859,84859147195,80054730060,79961027208,79959810599,79951857697,79951850591,79251637743,77955295529,77950614080,74849113523,79251632960,84926328209,84923596890,79960929608"
295,296,"84908377129,84955401097,84908651399,84867103449,84863622859,84859147195,80054730060,79961027208,79959810599,79951857697,79951850591,79251637743,77955295529,77950614080,79251632960,84926328209,84923596890,79960929608"
2,295,"84908377129,84955401097,84897973930,84908651399,84867103449,84863622859,84859147195,80054730060,79961027208,79959810599,79951857697,79951850591,79251637743,77955295529,77950614080,74849113523,79251632960,84926328209,84923596890,79960929608"
5,296,"84908377129,84992360049,84955401097,84908651399,84867103449,84863622859,84859147195,80054730060,79961027208,79959810599,79951857697,79951850591,79251637743,77955295529,77950614080,79251632960,84926328209,84923596890,79960929608,84867433194"
4,296,"84908377129,84992360049,84955401097,84908651399,84867103449,84863622859,84859147195,80054730060,79961027208,79959810599,79951857697,79951850591,79251637743,77955295529,77950614080,79251632960,84926328209,84923596890,79960929608,84867433194"
2,296,"84908377129,84992360049,84955401097,84908651399,84867103449,84863622859,84859147195,80054730060,79961027208,79959810599,79951857697,79951850591,79251637743,77955295529,77950614080,79251632960,84926328209,84923596890,79960929608,84867433194,84866431095"
52,272,"84908032310,84905328115"
1,272,"84908032310,84905328115,84926315967"
2,272,"84908032310,84905328115,84926315967"
271,297,"84983174945,84963646125,85006833184"
231,297,"84983174945,84963646125,85006833184"
272,297,84983174945
4,297,"84983174945,84963646125,85006833184,85013379995,85026751235,85043989464,85028946951,85065438592,85060203203,85075419353,85084070301,85087971095,85077656929,85072703238,85103657459,85100676551,85101397734,85096366925,85090732114,85114187854"
5,297,"84983174945,84963646125,85006833184,85043989464,85028946951,85065438592,85077656929,85072703238,85103657459,85101397734"
144,298,"84951967022,84911462346"
6,298,"84951967022,84911462346"
145,298,"84951967022,84911462346"
146,298,"84951967022,84911462346"
37,299,"84949978450,85009818546"
37,208,"84949978450,85027453939"
267,299,"84949978450,85009818546"
208,299,"84949978450,85041865449,85045316668,85067037719,85100876757"
38,299,"84949978450,85009818546,85008367800,85041865449,85045316668,85072568187,85067037719"
39,299,"84949978450,85009818546,85008367800,85041865449,85045316668,85072568187,85067037719,85111376870,85117564045,85094327015,85100876757"
208,267,"84949978450,84876995298,84857445272"
39,208,"84949978450,85027453939,85049435144,85054180023,85041865449,85045316668,85041072065,85067037719,84876995298,84857059796,84857445272,84856347271,84858441574,82755186454,85060500796,85086931735,85085970337,85087692774,85103565071,85102876600,85100876757,85106507796,85102886262,85092676893,85120441710,84890122941,84858283195,80855130538,78650886165,78649540224,77957763800,75149114556,72149093240,77249114718,57949089336,45849096031,36649033608"
158,300,"84928659646,85032926086,85075678346,85064206171,79954565385,85032914413"
278,300,"84928659646,79954565385,85032914413"
131,301,84922758636
90,131,84922758636
72,301,84922758636
72,90,"84922758636,80052785212,84962775659,84909966451,84883047791,84893678106,84878481135,63649094661,84920868634,83355167100,85089346103,78751551822,85088948163,76749164414"
90,301,84922758636
24,301,84922758636
10,301,84922758636
302,303,"84922260200,85049399295,78751646314,84902207941,84879060036"
226,302,"84922260200,84971671938,85049399295,85029411786,85072542929,85083345207,85117751667,78751646314"
226,303,"84922260200,85049399295,78751646314"
63,125,84920080725
226,304,84907168661
233,304,"84907168661,85037645309"
234,304,84907168661
284,305,85016143466
210,305,85016143466
39,305,85016143466
38,305,85016143466
306,307,85020497999
80,306,"85020497999,85028923101,85088367853,85103883657,85093696714"
80,307,"85020497999,85019024631,84904979688,84856246145,78649594308"
37,308,84996564258
38,308,84996564258
39,308,84996564258
250,309,"84992111172,85034442551,85071519876,85068505384,85059144277,85070340988,85072280609"
231,309,"84992111172,85034442551,85071519876,85068505384,85059144277,85072280609"
4,309,"84992111172,85034442551,85071519876,85068505384,85059144277,85070340988,85072280609"
5,309,"84992111172,85034442551,85071519876,85068505384,85059144277,85070340988"
7,126,84989166008
7,35,"84989166008,85021354413"
9,32,"84989166008,84957939601"
9,126,84989166008
32,126,84989166008
8,32,84989166008
16,32,"84989166008,84957939601"
32,35,"84989166008,84957939601"
8,126,84989166008
16,126,84989166008
35,126,84989166008
25,35,84989166008
8,35,84989166008
258,302,"84971671938,85029411786,85117751667,84991720655,85030094359,85072542892,85111828504,85132588949,84901937585"
226,310,"84978175934,84958628206,85003819819,85019998616,85031893950,85063333194,85078137848,84890148470"
27,311,84978287532
28,311,84978287532
167,312,"84982727280,84959206663,84958260407,85029672015,85009730100,85006427617,85046780816,85042105530,85062494643,85063075506,85057216443,84910142890,85025113860,84946223633,85047404332,85085174111,85102579408,85130111343"
312,313,"84982727280,85009730100"
54,312,"84982727280,84959206663,84958260407,85029672015,85009730100,85006427617,85046780816,85042105530,85062494643,85063075506,85057216443,85129760492,85143404154,84910142890,85025113860"
59,312,"84982727280,84959206663,84958260407,85029672015,85009730100,85006427617,85046780816,85042105530,85062494643,85063075506,85057216443,85129760492,85143404154,84910142890,85025113860,84946223633,85047404332,85085174111,85107720474,85102579408"
167,313,"84982727280,85009730100,45449114228,35548999301,26244435229,21344472586,3242781027,0041783746,84867216138"
54,313,"84982727280,85009730100,84888084263,45449114228,35548999301,26244435229,21344472586,3242781027,0041783746,0037165556,0032818304,0032395584,0012546329"
59,313,"84982727280,85009730100,84888084263,45449114228,35548999301,26244435229,21344472586,3242781027,0041783746,0037165556,0032818304,0032395584,0012546329,84949532105,84867216138,84856047006,77955278896,64549086328,0037193058"
272,314,"84982146205,85033592453,85026745359,85020852346,84995487942,85049031887,85042293053,85059331386,85045464594,85044372587"
250,314,"84982146205,85033592453,85026745359,85020852346,84995487942,85049031887,85042293053,85059331386,85045464594,85044372587"
231,314,"84982146205,85033592453,85026745359,85020852346,84995487942,85049031887,85042293053,85059331386,85045464594,85044372587"
5,314,"84982146205,85033592453,85026745359,85020852346,84995487942,85049031887,85042293053,85059331386,85045464594,85044372587"
4,314,"84982146205,85033592453,85026745359,85020852346,84995487942,85049031887,85042293053,85059331386,85045464594,85044372587"
292,315,84976351256
210,315,84976351256
38,315,84976351256
39,315,84976351256
1,270,"84969836689,85021760353"
229,316,"84969590439,85007273829,84901642361,84890618263"
232,316,"84969590439,85007273829,84901642361,84890618263"
227,316,84969590439
4,316,"84969590439,85007273829,84901642361,84890618263"
231,316,"84969590439,85007273829,84901642361,84890618263"
5,316,"84969590439,85007273829,84901642361,84890618263"
163,317,"84992290263,84992268418,84986216582,84986209026,84984584165,85098710660,85132736944"
163,187,"84992290263,73149084411,84986209026,85098710660,85132736944,85123897974"
187,317,"84992290263,85098251253,84938410951,84986209026,85111230231,85098710660,85110496998,85132736944"
164,317,"84992290263,85098251253,84938410951,84992268418,84986216582,84986209026,84984584165,85111230231,85098710660,85110496998,85132736944"
6,317,84992290263
3,318,"84964475858,84959251645,84985041059"
4,318,"84964475858,84959251645,84985041059"
5,318,"84964475858,84959251645,84985041059"
220,319,84977488045
38,319,84977488045
39,319,84977488045
39,220,84977488045
50,183,84965107403
270,320,"84964284829,85021082457,85008656587,85049783762,85051118356,85042728544,85027166038,85021449853"
2,320,"84964284829,85021082457,85008656587,85049783762,85051118356,85042728544,85027166038,85021449853"
5,320,"84964284829,85021082457,85008656587,85049783762,85051118356,85042728544,85027166038,85021449853"
4,320,"84964284829,85021082457,85008656587,85049783762,85051118356,85042728544,85027166038,85021449853"
52,276,"84987846873,84899649403"
2,276,"84987846873,84899649403"
242,321,84957990399
38,321,84957990399
236,321,84957990399
80,322,"85019850520,84954215902,85042353328,85030256120,85021212618,85030234326,84951325509,84952060876,84988384135,85046376986,84987687497,85052852715"
209,215,"84980340044,85071501447,85043571424,85044829237,85063230763,85088276129,85069601288,85110295846,85090958250,85127171562,85085639972"
248,323,"84942456141,84929791684"
80,323,"84942456141,85009424113,85054361127,85097371751,85002369593,85055573889,84929791684"
80,324,"84964523957,85045945207,85078453845,84876455525,80053363670,39749087653,1442288859,0344827158,0142248217,0036872142,0036577612,0036577590"
82,324,"84964523957,85045945207"
231,325,"84957549835,84865572850,77956676426,67449116846,58249144005,40749145168,40749083849,38349077475,34748824981"
5,325,"84957549835,84865572850,77956676426,77649272364,67449116846,58249144005,40749145168,40749083849,38349077475,34748824981,34548062880,33846248646,33750333009"
4,325,"84957549835,84865572850,77956676426,77649272364,67449116846,58249144005,40749145168,40749083849,38349077475,34748824981,34548062880,33846248646,33750333009"
80,326,"84940769480,85018347705,85019251794,85027571082,85008156617,85042353328,85021212618,85078473792,84961692410,84910069669,84987687497,85052908776,85052852715"
38,327,"84955599490,84949116808,84890349228,84865424003,78951476829,79251509891,74249092605,77955086628,67651095682,70349337264,67649210829,57449105400,53249124636,39849091493,35248848951,33846667226,34748832237,34748831046,84891994439"
274,328,84963548970
208,328,"84963548970,85091230996,85135773336,85127171562"
38,328,84963548970
209,328,"84963548970,85088276129,85110295846,85090958250,85127171562"
329,330,"84961842177,85043534371,84942938554,84936741298,84986293292,85010739377,85041471611,85080073147,85078430540,84873722659,79960103912,79953735117,52649087674,41649117790"
329,331,"84961842177,85043534371,84942938554,84936741298,84986293292,85010739377,85041471611,85080073147,85078430540,84873722659,79960103912,79953735117,52649087674,41649117790"
226,329,84961842177
233,329,"84961842177,85010739377"
329,332,"84961842177,85043534371,84949098401,84942938554,84983184228,84936741298,84946606932,84986293292,85010739377,85041471611,85080073147,85078430540,84873722659,79960103912,79953735117,52649087674,41949084488,41649117790"
330,331,"84961842177,85043534371,84942938554,84936741298,84916917820,84949844956,84986293292,85010739377,85048834807,85041471611,85039844329,85092337085,85080073147,85078430540,85105783042,85104913218,85103662320,85123725295,84907702838,84907806355,84904903580,84897533288,84873722659,84867855805,84860536816,79960103912,79953735117,77951765352,67349175754,55649097502,52649087674,41649117790,36448960227,33748433246,25144446276,15044365081,10844223632,0038419480,0037229172,0037035850,0034869492,0035837032,0037653877,0038668076,0031337767"
226,330,"84961842177,84958628206"
233,330,"84961842177,84958628206,85010739377"
330,332,"84961842177,85043534371,84942938554,84936741298,84916917820,84949844956,84986293292,85010739377,85048834807,85041471611,85039844329,85092337085,85080073147,85078430540,85105783042,85104913218,85103662320,84907702838,84907806355,84904903580,84897533288,84873722659,84867855805,84860536816,79960103912,79953735117,77951765352,67349175754,55649097502,52649087674,41649117790,33748433246,25144446276,15044365081,10844223632,0038419480,0037229172,0037035850,0034869492,0035837032,0037653877,0038668076,0031337767"
226,331,84961842177
233,331,"84961842177,85010739377"
331,332,"84961842177,85043534371,84942938554,84936741298,84916917820,84949844956,84986293292,85010739377,85048834807,85041471611,85039844329,85092337085,85080073147,85078430540,85105783042,85104913218,85103662320,84907702838,84907806355,84904903580,84897533288,84873722659,84867855805,84860536816,79960103912,79953735117,77951765352,67349175754,55649097502,52649087674,41649117790,33748433246,25144446276,15044365081,10844223632,0038419480,0037229172,0037035850,0034869492,0035837032,0037653877,0038668076,0032402652,0031337767,33748661116"
226,332,84961842177
233,332,"84961842177,85010739377"
4,333,"84989344897,84922259389"
282,334,"84982706118,84871606047,82155179275,81755166551,79955564659"
225,334,"84982706118,85035010803,84892574717,84871606047,84861949986,84860534461,84856843588,84863922265,82155179275,81755166551,80051743237,79955564659,79952415524,78650124387,77952986477,77149138794,77954577849"
233,310,"84958628206,85003819819,85031893950,85078137848,84982851784,85073215042,84882400462"
310,330,"84958628206,84936741298,84986293292"
224,275,"84955480190,85035010803,84906537305"
229,335,"84947613149,84901642361,84890618263"
232,335,"84947613149,84901642361,84890618263,85063986668,85059140431,85086400790,85076949361,85075723262,85113156084,85106647789,85103328920,85101415065,85119168318,84908674578,84908692860,84886790083,84874412724,80054997191,84857034928,84861919004,83555179213,78649871295,70249127870,64849084586"
230,335,"84947613149,85059140431,85076949361,85075723262,84908674578,84908692860,84886790083,83555179213,70249127870,64849084586"
5,335,"84947613149,84901642361,84890618263"
4,335,"84947613149,84901642361,84890618263"
231,335,"84947613149,84901642361,84890618263"
95,336,84994515519
54,336,"84994515519,84878422941,64549134112,20844438051,0036974995"
257,336,"84994515519,84878422941"
95,257,"84994515519,84896533300"
224,251,"84991593742,85049499008,85144068822,85144638911,85092945395,85121519163"
224,252,"84991593742,85144068822,77951055301,77951032254"
53,96,84973647671
96,150,84973647671
53,150,84973647671
50,134,"84959019505,84877922749,84863692417,33845585244,4043164955,10044231867,7044231005,38149054433,85065016737,85059832417,79952160677,85071675014,85093073753"
237,249,84954239577
218,249,84954239577
218,237,84954239577
218,231,84954239577
