ID_author_1,ID_author_2,scopus_id_collaborations
7,8,"84954128299,84946404840,84937433340,84979030182,84978997746,84976470647,84989166008,85032857103,85040225719,85067455829,85027026130,85019215121,84964691204,85077285202,85117268726"
7,9,"84954128299,84946404840,84937433340,84979030182,84976479615,84976470647,85027076238,84989166008,85032857103,85040225719,84996496762,85019215121,84964691204"
7,10,"84954128299,84946404840,84937433340,84979030182,84978997746,84976479615,84976470647,84946033353,85031429211,85031411360,85027076238,85027044910,85065867839,85065859471,85056908224,85056871129,85115186684,85115120671,84989166008,85032857103,85021354413,85015950557,85040060180,85040225719,85072881226,85068435006,85055803942,85090115800,85050005593,85086320273,85067455829,85108383479,85099973545,85059476534,85096053087,85129497630,85111590770"
8,9,"84954128299,84946404840,84937433340,84979030182,84976470647,84989166008,85032857103,85040225719,84927145667,85019215121,84964691204,84885400862,84881439979,84863754677,84863750762,85091977173"
8,10,"84954128299,84946404840,84937433340,84979030182,84978997746,84976470647,84989166008,85032857103,85040225719,85067455829"
9,10,"84954128299,84946404840,84937433340,84979030182,84976479615,84976470647,85027076238,84921507117,84989166008,84957939601,85032857103,85040225719"
11,12,84952685456
11,13,84952685456
10,11,84952685456
12,13,84952685456
10,12,"84952685456,84952649821,84946404840,84937510906,84885820647,84881060333,84879253945,84879126616,84864183136,84879093679,84879078505,84879075599,84879485908,84885407960,77956320755,84879622285,47249164704,57749204952,38149124864,38149111924,84973623318,84885140770,84880440476,84873578374,84888602069,80255123267,80053573164,77954485571,56349141958,84866785816,84866776824,77956413200,70349452276,55349132032,67649982739"
10,13,84952685456
12,14,"84952649821,84937510906"
12,15,84952649821
12,16,"84952649821,84937510906"
10,14,"84952649821,84937510906,84979030182,85031413671,85090115800,85135140820"
10,15,"84952649821,84979030182,85065859471,85058466417,85090115800,85067455829,85135140820"
10,16,"84952649821,84937510906,84937468569,84937433340,84979030182,85031413671,85065859471,84921507117,84989166008,84983503496,84957939601,85036510993,85021354413,85040060180,85072881226,85090115800,85070333694,85089808952,85083328607,85067455829,85111614847,85104761324,85135140820,85068217153"
14,15,"84952649821,84979030182,85090115800,85135140820,85049394543,85075270494,85066235876,85076827357,85109169981,85108314455,85126350615"
14,16,"84952649821,84937510906,84979030182,85031413671,85090115800,85135140820,84921056638,84945188781,84993944736,84947225683,84992712379,85021762880,84996524184,85021290925,85002328341,85050912703,85049394543,85045896641,85036596351,85017100371,84991798308,85075270494,85064913204,85066235876,85061034076,85076827357,85093896046,85088351774,85088156225,85053262524,85059959531,85109169981,85108314455,85081730549,85132957567,85126350615,85134600693,84906716932,84904732248,84904433466,84886844792,84875626385,84873561494,84884392213,84870414749,84857662614,79953731618,77956879887,73649104407"
15,16,"84952649821,84979030182,85065859471,85090115800,85067455829,85135140820,85049394543,85075270494,85066235876,85076827357,85109169981,85108314455,85126350615"
17,18,"84952321155,84950295488,85010187565"
17,19,"84952321155,84950295488,85010187565,85029440025,85009829465"
17,20,"84952321155,84950295488,85010187565,85029440025,85009829465"
6,17,"84952321155,84950295488,85010187565"
18,19,"84952321155,84950295488,85010187565"
18,20,"84952321155,84950295488,85010187565"
6,18,"84952321155,84950295488,85010187565"
19,20,"84952321155,70349321293,84950295488,85010187565,74049087860,85029440025,85009829465"
6,19,"84952321155,70349321293,49949104235,35048820419,84928016738,84950295488,84965107403,85010187565,85100304215,85094856060,51549094637,37849048925,34249666165,34047234602,85001574871,0036808607,85143253356,74049087860,84886938874,84958775475,26844457123,84969533817,0035167348,84994761772,0004892706"
